ID_Cliente,Idade,Cidade,Estado,Renda_Mensal,Qtd_Compras,Valor_Total_Compras
C0054,25.0,Ribeirão Preto,SP,1320.0,30.0,10768.62
C0055,70.0,Nova Iguaçu,RJ,4308.44,44.0,8032.16
C0056,38.0,Itajaí,SC,3294.61,40.0,7131.32
C0057,59.0,Vitória da Conquista,BA,4549.77,3.0,832.36
C0058,26.0,Ribeirão Preto,SP,3408.47,25.0,10421.11
C0059,44.0,Cascavel,,3059.0,27.0,16562.56
C0060,20.0,Pelotas,RS,1320.0,45.0,14421.22
C0061,24.0,Petrolina,PE,4145.03,42.0,12852.33
C0062,72.0,São Paulo,SP,5068.41,30.0,3152.39
C0063,21.0,Porto Alegre,RS,2616.81,9.0,5082.65
C0064,31.0,Ilhéus,BA,2469.04,,9245.72
C0065,68.0,Niterói,RJ,5331.67,10.0,8033.64
C0066,60.0,Salvador,BA,5173.86,2.0,280.82
C0067,38.0,Ilhéus,BA,5572.23,9.0,5513.53
C0068,46.0,Ponta Grossa,PR,5356.62,50.0,16678.79
C0069,57.0,Uberlândia,MG,7766.22,43.0,18648.48
C0070,48.0,Recife,PE,5945.88,26.0,8104.97
C0071,22.0,Ponta Grossa,PR,3546.48,10.0,903.29
C0072,63.0,Santa Maria,RS,4457.63,21.0,7323.86
C0073,56.0,Petrópolis,RJ,2829.34,,5849.78
C0074,45.0,Feira de Santana,BA,6370.69,29.0,20050.08
C0075,44.0,Camaçari,BA,4954.1,21.0,10945.95
C0076,22.0,Santo André,SP,1320.0,6.0,3385.15
C0077,,Guarulhos,SP,5600.88,36.0,18119.19
C0078,64.0,Nova Iguaçu,,5624.86,4.0,3229.91
C0079,50.0,Petrópolis,,5748.87,15.0,9665.4
C0080,66.0,Belo Horizonte,MG,7373.71,18.0,9713.38
C0081,57.0,Itajaí,SC,4371.07,39.0,32964.03
C0082,35.0,Niterói,RJ,2335.25,45.0,32699.39
C0083,27.0,Niterói,RJ,1691.82,10.0,7200.42
C0084,31.0,Ribeirão Preto,SP,2945.55,25.0,8541.33
C0085,67.0,Duque de Caxias,RJ,7124.8,4.0,734.6
C0086,35.0,São Paulo,SP,3312.97,29.0,15756.28
C0087,31.0,Contagem,MG,3582.9,28.0,3994.49
C0088,60.0,Santa Maria,RS,4502.96,20.0,1610.82
C0089,31.0,Porto Alegre,RS,3231.93,9.0,5135.77
C0090,65.0,Santo André,SP,6219.87,28.0,4845.71
C0091,53.0,Cascavel,PR,6599.0,5.0,1907.38
C0092,22.0,Juiz de Fora,MG,1320.0,21.0,10415.28
C0093,36.0,Ponta Grossa,PR,4390.79,,4429.68
C0094,23.0,Contagem,MG,2803.92,28.0,17169.6
C0095,23.0,Santa Maria,RS,1574.61,22.0,5286.93
C0096,51.0,São Paulo,SP,6027.49,33.0,7161.69
C0097,33.0,Niterói,RJ,4721.1,12.0,6648.35
C0098,67.0,Caxias do Sul,,5934.34,41.0,18999.17
C0099,61.0,Ponta Grossa,PR,6958.57,41.0,30095.64
C0100,27.0,Petrolina,,2192.81,29.0,2867.37
